pl_name,hostname,pl_rade,pl_bmasse,pl_orbsmax,pl_orbeccen,pl_eqt,pl_insol,st_teff,st_rad,st_mass,st_age,st_spectype,disc_year
Kepler-436 b,Kepler-436,2.73,7.9,0.339,0.19,322.0,1.69,4651.0,0.697,0.729,3.0,,2015.0
Kepler-84 b,Kepler-84,2.23,40.0,0.0827,0.0,985.0,222.19,6039.0,1.43,1.0,3.98,,2012.0
MOA-2010-BLG-328L b,MOA-2010-BLG-328L,2.99,9.2,0.92,,,,,,0.11,,,2013.0
8 UMi b,8 UMi,13.5,524.41687155,0.462,0.062,1126.38,247.8402,4847.0,10.73,1.51,1.7,K0,2015.0
Kepler-1093 b,Kepler-1093,1.95,4.46,0.17543,0.0,776.0,98.8,6166.0,1.2,1.13,2.95,,2016.0
KOI-351 e,KOI-351,2.66,7.56,0.42,0.0,450.0,10.228,6080.0,1.2,1.2,0.53,,2013.0
Kepler-778 b,Kepler-778,1.68,3.46,0.0453,0.0,977.0,216.568,5102.0,0.77,0.81,5.25,,2016.0
HD 101581 b,HIP 56998,0.956,0.827,0.046,,834.0,80.0,4675.0,0.63,0.653,6.88,K4/5V,2025.0
TOI-1883 b,TOI-1883,5.65,27.2,0.0468,,524.92,17.9436,3477.0,0.494,0.492,,M,2024.0
Kepler-1522 b,Kepler-1522,1.73,3.64,0.0288,0.0,1374.0,1513.457,5706.0,0.93,0.96,3.89,,2016.0
Kepler-1245 b,Kepler-1245,1.44,2.67,0.0484,0.0,1043.0,194.344,5306.0,0.83,0.86,4.57,,2016.0
SWEEPS-11 b,SWEEPS-11,12.666,3082.82,0.03,,,,,1.45,1.1,,,2006.0
HD 159868 b,HD 159868,13.3,704.94694,2.32,0.024,255.69,0.668,5534.0,2.13,1.19,7.57,G5 V,2006.0
OGLE-2018-BLG-0799L b,OGLE-2018-BLG-0799L,10.9,82.63538582,1.28,,,,,,0.093,,,2022.0
K2-220 b,K2-220,2.37,6.21,0.1104,,761.0,79.7,5612.0,1.026,0.91,,,2018.0
Kepler-154 f,Kepler-154,1.5,2.86,0.08832,0.0,838.0,139.884,5769.0,0.98,0.98,4.47,,2016.0
Kepler-1938 b,Kepler-1938,1.82828927,4.0,0.0938,0.0,527.0,18.25,4522.0,0.655,0.646,,,2021.0
TOI-2322 c,TOI-2322,1.874,18.1,0.1362,0.0,496.8,10.15,4664.0,0.662,0.703,3.9,K4,2025.0
WASP-53 c,WASP-53,,5196.5205,3.73,0.8369,110.47,0.0247,4953.0,0.798,0.839,,,2017.0
WASP-68 b,WASP-68,14.79588,343.2564,0.06206,0.0,1490.0,843.4794,5910.0,1.79,1.49,5.7,G0,2014.0
Kepler-658 b,Kepler-658,1.63,3.29,0.0188,0.0,871.0,223.745,4103.0,0.6,0.63,3.09,,2016.0
HD 76700 b,HD 76700,9.6,66.7443,0.05,0.09,1424.61,723.1837,5644.0,1.37,0.99,11.0,G6 V,2002.0
Kepler-227 b,Kepler-227,3.11,9.85,0.09,0.0,793.0,104.641,5854.0,1.091,0.954,3.98,,2014.0
Kepler-260 b,Kepler-260,2.01,4.7,0.075,0.0,782.0,132.134,5250.0,0.862,1.013,1.15,,2014.0
Kepler-1089 b,Kepler-1089,1.83,4.01,0.0497,0.0,584.0,26.266,3753.0,0.49,0.52,3.72,,2016.0
HD 235088 b,HD 235088,1.982,4.15,0.0706,0.0,805.0,70.0,5075.0,0.772,0.849,0.7,K V,2023.0
NGTS-34 b,NGTS-34,3.65,19.1,0.257,,624.0,36.0339,6134.0,1.367,1.266,2.7,F8 V,2025.0
K2-138 f,K2-138,2.904,1.63,0.10447,0.062,653.0,51.0,5356.3,0.863,0.935,2.8,G8 V,2017.0
TOI-1683.01,TOI-1683,2.6382,7.45,0.036507593,,929.25,163.056,4402.0,0.7,0.694661,,,2024.0
Kepler-18 c,Kepler-18,5.49,17.3,0.0752,0.0,899.0,126.081,5345.0,1.108,0.972,10.0,,2011.0
Kepler-831 b,Kepler-831,1.27,2.15,0.05984,0.0,992.0,266.249,5732.0,0.97,0.99,4.17,,2016.0
Kepler-221 c,Kepler-221,2.93,9.3,0.059,0.0,860.0,119.836,5243.0,0.821,0.854,1.78,,2014.0
KMT-2021-BLG-1253L b,KMT-2021-BLG-1253L,4.59,19.05,1.52,,,,,,0.24,,,2022.0
K2-257 b,K2-257,0.83,0.498,0.0216,,789.0,89.1463,3725.0,0.5,0.52,,,2018.0
Kepler-27 d,Kepler-27,2.7061946,7.78,0.06578,0.0,810.0,88.2,5251.0,0.817,0.926,1.62,,2021.0
BD+55 362 b,BD+55 362,14.0,228.83645304,0.78,0.27,259.06,0.7996,5012.0,0.896193,0.909,,K3,2021.0
TOI-270 c,TOI-270,2.33,6.2,0.04526,0.0044,489.0,47.0639,3506.0,0.38,0.386,,M,2019.0
